# VSM Evidence Workbench - Normalized Data Export
# Generated: 2026-04-30 20:57:01 UTC
# Source file: C:\Users\Administrator\OneDrive - Gannon University\Spring 2026\Senior Design\RigolDS0.csv
# Samples: 1000000
# CSV mode: preview_downsampled
# Note: Preview CSV downsampled to 50,000 rows for package size; metrics computed on full-resolution data.
# Sample rate: 10000000.0 Hz
#
ts,v_ab,v_an,v_bc,v_bn,v_ca,v_cn
0.0004640000000000061,-1.9858565000000001,-0.4822085,2.862509,1.503648,-0.8766525000000001,-1.358861
0.00046600000000000114,-1.9858565000000001,-0.4822085,2.862509,1.503648,-0.8766525000000001,-1.358861
0.00046800000000000314,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.00047000000000000514,-1.8251203,-0.3214723,2.942442,1.503648,-1.1173217,-1.438794
0.0004720000000000002,-1.9858565000000001,-0.4822085,2.942442,1.503648,-0.9565854999999999,-1.438794
0.0004740000000000022,-1.9054884,-0.4018404,2.942442,1.503648,-1.0369536,-1.438794
0.0004760000000000042,-1.9858565000000001,-0.4822085,2.942442,1.503648,-0.9565854999999999,-1.438794
0.0004780000000000062,-1.9858565000000001,-0.4822085,2.942442,1.503648,-0.9565854999999999,-1.438794
0.00048000000000000126,-1.9858565000000001,-0.4822085,2.862509,1.503648,-0.8766525000000001,-1.358861
0.00048200000000000326,-1.9858565000000001,-0.4822085,2.862509,1.503648,-0.8766525000000001,-1.358861
0.00048400000000000526,-2.0662245,-0.5625765,2.862509,1.503648,-0.7962845000000001,-1.358861
0.0004860000000000003,-1.9858565000000001,-0.4822085,2.862509,1.503648,-0.8766525000000001,-1.358861
0.0004880000000000023,-1.9042592999999999,-0.3214723,2.941648,1.582787,-1.0373887000000002,-1.358861
0.0004900000000000043,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.0004919999999999994,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.0004940000000000014,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.0004960000000000034,-1.8238911999999998,-0.2411042,2.941648,1.582787,-1.1177568,-1.358861
0.0004980000000000054,-1.8251203,-0.3214723,2.862509,1.503648,-1.0373887000000002,-1.358861
0.0005000000000000004,-1.8226632,-0.1607362,3.020788,1.661927,-1.1981248,-1.358861
0.0005020000000000024,-1.8251203,-0.3214723,2.862509,1.503648,-1.0373887000000002,-1.358861
0.0005040000000000044,-1.9858565000000001,-0.4822085,2.942442,1.503648,-0.9565854999999999,-1.438794
0.0005059999999999995,-1.9858565000000001,-0.4822085,2.942442,1.503648,-0.9565854999999999,-1.438794
0.0005080000000000015,-1.9042592999999999,-0.3214723,2.941648,1.582787,-1.0373887000000002,-1.358861
0.0005100000000000035,-2.0649954999999998,-0.4822085,2.941648,1.582787,-0.8766525000000001,-1.358861
0.0005120000000000055,-1.9054884,-0.4018404,2.862509,1.503648,-0.9570206000000001,-1.358861
0.0005140000000000006,-2.0662245,-0.5625765,2.942442,1.503648,-0.8762174999999999,-1.438794
0.0005160000000000026,-1.9846274,-0.4018404,2.941648,1.582787,-0.9570206000000001,-1.358861
0.0005180000000000046,-1.9054884,-0.4018404,2.782576,1.503648,-0.8770876000000001,-1.278928
0.0005199999999999996,-1.9054884,-0.4018404,2.942442,1.503648,-1.0369536,-1.438794
0.0005220000000000016,-1.9067165000000001,-0.4822085,2.863302,1.424508,-0.9565854999999999,-1.438794
